Date,RON91,Diesel
2023-01-03,71.80,70.25
2023-01-10,69.45,69.45
2023-01-17,70.40,69.95
2023-01-24,73.20,72.20
2023-01-31,72.30,71.40
2023-02-07,70.20,68.40
2023-02-14,70.20,66.20
2023-02-21,69.20,67.25
2023-03-06,64.50,62.35
2023-03-14,65.50,62.16
2023-03-21,64.05,60.31
2023-03-28,63.20,59.01
2023-04-04,64.60,59.51
2023-04-11,67.20,61.21
2023-04-18,67.50,60.81
2023-05-02,64.35,58.10
2023-05-09,62.15,55.20
